DatGeracaoConjuntoDados;IdeOnsSbe;SglTipAnj;DscTipAnj;IdeMdl;IdeTipMdl;IdeTipAnj;IdeSbe;IdcPrtMdlGrl;NomSubestacao;NomLongoSubestacao;SigUFSubestacao;NumOprMdl;NomMdl;IdcSitMdl;NumTnsMdl
2026-04-27;PRCNT;BD4;Barra Dupla a Quatro Chaves;40663;1;4;3316;1;CASTRO NORTE;SUB CASTRO NORTE PR;PR;MG2;MG 230 kV CASTRO NORTE MG2 PR;3;230,00
2026-04-27;MABAC;DJM;Disjuntor e Meio;40664;1;2;3255;2;BACABEIRA;SUB BACABEIRA MA;MA;MG2;MG 500 kV BACABEIRA MG2 MA;3;500,00
2026-04-27;CEMAU;BD4;Barra Dupla a Quatro Chaves;40665;1;4;3177;0;MARACANAU;SUB MARACANAU CE;CE;MG2;MG 230 kV MARACANAU MG2 CE;3;230,00
2026-04-27;MTPRTA;BPT;Barra Principal e Transferência;40673;1;1;4440;;PRATA;PRATA;MT;MG1;MG 138 kV PRATA MG1 MT;3;138,00
2026-04-27;SPBPER;BPT;Barra Principal e Transferência;40674;1;1;4428;;BRANCO PERES;SUB BRANCO PERES SP;SP;MG1;MG 138 kV BRANCO PERES MG1 SP;3;138,00
2026-04-27;;BD4;Barra Dupla a Quatro Chaves;40675;1;4;3339;;FEIRA DE SANTANA III;SUB FEIRA DE SANTANA III;BA;MG2;MG 230 kV FEIRA DE SANTANA III MG2 BA;3;230,00
2026-04-27;RSCAL2;BD4;Barra Dupla a Quatro Chaves;40676;1;4;3342;;CRUZ ALTA 2;SUB CRUZ ALTA 2;RS;MG2;MG 230 kV CRUZ ALTA 2 MG2 RS;3;230,00
2026-04-27;PBJPII;BD4;Barra Dupla a Quatro Chaves;40677;1;4;3330;2;JOAO PESSOA II;SUB JOAO PESSOA II PB;PB;MG2;MG 230 kV JOAO PESSOA II MG2 PB;3;230,00
2026-04-27;;DJM;Disjuntor e Meio;40681;1;2;4441;2;SANTO A. DOS LOPES;SANTO ANTONIO DOS LOPES;MA;MG1;MG 500 kV SANTO A. DOS LOPES MG1 MA;3;500,00
2026-04-27;SPCST3;BD4;Barra Dupla a Quatro Chaves;40687;1;4;2046;1;CASTILHO 3;SUB CASTILHO 3     SP;SP;MG1;MG 138 kV CASTILHO 3 MG1 SP;3;138,00
