DatGeracaoConjuntoDados;DscTipEqp;NumFasMdlEqp;IdeOnsSbe;IdeMdl;IdeTipMdl;IdeSbe;MdaCpeRaiNegMdlEqp;MdaCpeRaivPosMdlEqp;DscIdcExsMdlCnr;DscFinMdlEqp;MdaPotAtvMdlEqp;MdaTnsScdMdlEqp;MdaTnsTiaMdlEqp;NomSubestacao;NomLongoSubestacao;SigUFSubestacao;NumOprMdl;NomMdl;IdcSitMdl;NumTnsMdl
2026-04-27;Transformador de Potência;Trifásico;RSPAL4;39295;3;1553;;;S;Principal;75.00;13.80;;PORTO ALEGRE 4;SUB PORTO ALEGRE 4 RS;RS;TR9;TR 230/13,8 kV PORTO ALEGRE 4 TR9 RS;3;230,00
2026-04-27;Banco de Capacitores;Trifásico;RSPAL4;39298;3;1553;;3.60;S;Principal;;;;PORTO ALEGRE 4;SUB PORTO ALEGRE 4 RS;RS;BC11;BC 13,8 kV 3,6 Mvar PORTO ALEGRE 4 BC11 RS;3;13,80
2026-04-27;Transformador de Potência;Trifásico;RSPAL4;39315;3;1553;;;S;Principal;75.00;13.80;;PORTO ALEGRE 4;SUB PORTO ALEGRE 4 RS;RS;TR10;TR 230/13,8 kV PORTO ALEGRE 4 TR10 RS;3;230,00
2026-04-27;Banco de Capacitores;Trifásico;RSPAL4;39318;3;1553;;3.60;S;Principal;;;;PORTO ALEGRE 4;SUB PORTO ALEGRE 4 RS;RS;BC12;BC 13,8 kV 3,6 Mvar PORTO ALEGRE 4 BC12 RS;3;13,80
2026-04-27;Transformador de Potência;Trifásico;RSPAL4;39334;3;1553;;;S;Principal;75.00;13.80;;PORTO ALEGRE 4;SUB PORTO ALEGRE 4 RS;RS;TR11;TR 230/13,8 kV PORTO ALEGRE 4 TR11 RS;3;230,00
2026-04-27;Banco de Capacitores;Trifásico;RSPAL4;39337;3;1553;;3.60;S;Principal;;;;PORTO ALEGRE 4;SUB PORTO ALEGRE 4 RS;RS;BC13;BC 13,8 kV 3,6 Mvar PORTO ALEGRE 4 BC13 RS;3;13,80
2026-04-27;Transformador de Potência;Monofásico;ACTC;39455;3;3380;;;N;Principal;150.00;69.00;13.80;TUCUMA;SUB TUCUMA AC;AC;TR1;TR 230/69 kV TUCUMA TR1 AC;3;230,00
2026-04-27;Transformador de Potência;Monofásico;ACTC;39458;3;3380;;;N;Principal;150.00;69.00;13.80;TUCUMA;SUB TUCUMA AC;AC;TR2;TR 230/69 kV TUCUMA TR2 AC;3;230,00
2026-04-27;Transformador de Potência;Monofásico;ACTC;39461;3;3380;;;N;Reserva;50.00;69.00;13.80;TUCUMA;SUB TUCUMA AC;AC;TRR1;TR 230/69 kV TUCUMA TRR1 AC;3;230,00
2026-04-27;Reator de Barra;Trifásico;ACTC;39462;3;3380;20.00;;N;Principal;;;;TUCUMA;SUB TUCUMA AC;AC;RT1;RTB 230 kV 20 Mvar TUCUMA RT1 AC;3;230,00
2026-04-27;Reator de Linha;Trifásico;ACRB;39473;3;2;25.00;;N;Principal;;;;RIO BRANCO 1;SUB RIO BRANCO 1 AC;AC;RT6;RTL 230 kV 25 Mvar RIO BRANCO 1 RT6 AC;3;230,00
2026-04-27;Reator de Linha;Trifásico;ROAN;39475;3;1421;25.00;;N;Principal;;;;ABUNA;SUB ABUNA    RO;RO;RT6;RTL 230 kV 25 Mvar ABUNA RT6 RO;3;230,00
2026-04-27;Transformador de Potência;Monofásico;RJSPT;39480;3;4410;;;;Principal;600.00;138.00;;SETE PONTES;SUB SETE PONTES RJ;RJ;TR1;TR 345/138 kV SETE PONTES TR1 RJ;0;345,00
2026-04-27;Transformador de Potência;Monofásico;RJSPT;39483;3;4410;;;;Principal;600.00;138.00;;SETE PONTES;SUB SETE PONTES RJ;RJ;TR2;TR 345/138 kV SETE PONTES TR2 RJ;0;345,00
2026-04-27;Transformador de Potência;Monofásico;RJSPT;39486;3;4410;;;;Reserva;200.00;138.00;;SETE PONTES;SUB SETE PONTES RJ;RJ;TRR1;TR 345/138 kV SETE PONTES TRR1 RJ;0;345,00
2026-04-27;Transformador de Potência;Monofásico;MTCUN;39505;3;4412;;;;Principal;600.00;138.00;13.80;CUIABA NORTE;SUB CUIABA NORTE MT;MT;TR1;TR 500/138 kV CUIABA NORTE TR1 MT;0;500,00
2026-04-27;Transformador de Potência;Monofásico;MTCUN;39508;3;4412;;;;Reserva;200.00;138.00;13.80;CUIABA NORTE;SUB CUIABA NORTE MT;MT;TRR1;TR 500/138 kV CUIABA NORTE TRR1 MT;0;500,00
2026-04-27;Transformador de Potência;Trifásico;TOSTGU;39517;3;2738;;;N;Principal;100.00;138.00;13.80;GURUPI;SUB GURUPI     TO;TO;TR1;TR 230/138 kV GURUPI TR1 TO;3;230,00
